NM_MUN,bairro,n_setores,pop,casos,taxa,cum_casos_pct,cum_pop_pct
Santo André,Jardim Las Vegas,19,11925,4.0,6.7085953878406706,18.375921993103606,24.996541429486964
Ribeirão Pires,Centro Ouro Fino Paulista,6,3968,4.0,20.161290322580644,18.385056290105272,25.01586365095225
Osasco,Três Montanhas,4,1441,4.0,55.51700208188758,18.39419058710694,25.022880616963207
São Bernardo do Campo,Varginha,7,2729,4.0,29.314767314034448,18.403324884108606,25.036169513732048
Ribeirão Pires,Quarta Divisão,10,5033,4.0,15.895092390224518,18.412459181110275,25.060677764900085
São Caetano do Sul,Mauá,30,10354,4.0,7.7264825188333015,18.42159347811194,25.11109668653606
Santo André,Parque Represa Billings III,3,1432,4.0,55.865921787709496,18.43072777511361,25.118069826943895
Ribeirão Pires,Tanque Caio,4,3102,4.0,25.78981302385558,18.439862072115275,25.13317505148656
Santo André,Vila Valparaíso,28,12490,4.0,6.405124099279423,18.44899636911694,25.19399524959679
São Caetano do Sul,Centro,12,3787,4.0,21.12490097702667,18.458130666118606,25.212436089488182
Santo André,Bangú,9,5053,4.0,15.832178903621612,18.467264963120275,25.23704173088538
São Bernardo do Campo,Tatetos,8,2274,4.0,35.180299032541775,18.47639926012194,25.248114999940835
Caieiras,Morro Grande,12,4531,4.0,17.656146546016334,18.48553355712361,25.270178756356966
Guarulhos,Aracília,4,2036,4.0,39.29273084479371,18.494667854125275,25.280093081685422
Itaquaquecetuba,Perobal,22,14001,4.0,5.713877580172845,18.503802151126944,25.348271111608668
Itaquaquecetuba,Centro,14,6307,4.0,12.684319010623117,18.51293644812861,25.378983120374176
Mauá,RP2 (Regiões de Planejamento),4,1817,4.0,44.028618602091356,18.52207074513028,25.387831022693337
Guarulhos,Maia,10,5231,4.0,15.293442936341044,18.531205042131944,25.413303437130054
Osasco,Paiva Ramos,4,2796,4.0,28.612303290414882,18.540339339133613,25.42691859116658
Santo André,Parque Represa Billings II,1,443,3.0,135.44018058690745,18.547190061884862,25.429075784742466
Caieiras,Nova Caieiras,9,3442,3.0,17.431725740848346,18.55404078463611,25.445836643180854
Ribeirão Pires,Soma,3,1578,3.0,38.02281368821293,18.56089150738736,25.453520732261552
Santo André,Vila Francisco Matarazzo,9,4177,3.0,14.364376346660285,18.567742230138613,25.473860681621552
Ribeirão Pires,Ponte Seca,7,5192,3.0,11.556240369799692,18.574592952889862,25.49914318511141
Santo André,Jardim Vila Rica,4,1557,3.0,38.53564547206166,18.58144367564111,25.506725014451494
São Bernardo do Campo,Capivari,5,2002,3.0,29.97002997002997,18.588294398392364,25.51647377639038
Ribeirão Pires,Barro Branco,3,1836,3.0,32.6797385620915,18.595145121143613,25.52541419942724
São Bernardo do Campo,Curucuto,6,1586,3.0,37.83102143757881,18.601995843894866,25.5331372445996
Santo André,Vila Vitória,6,2802,3.0,21.41327623126338,18.608846566646115,25.546781615704877
Santo André,Casa Branca,9,3679,3.0,16.308779559662952,18.615697289397364,25.5646965483588
Guarulhos,Morro Grande,1,271,3.0,221.4022140221402,18.622548012148616,25.566016185963914
São Caetano do Sul,Jardim São Caetano,13,3709,3.0,16.176867080075493,18.629398734899866,25.58407720396158
Osasco,Setor Militar,3,2958,3.0,20.28397565922921,18.636249457651115,25.598481218854303
Osasco,Platina,6,2865,3.0,20.94240837696335,18.643100180402367,25.612432369181427
Osasco,Santa Fé,2,1501,3.0,39.973351099267155,18.649950903153616,25.619741505879862
Barueri,Altos,2,2243,3.0,26.74988854213107,18.65680162590487,25.630663820080123
Itaquaquecetuba,Ribeiro,8,5480,2.0,7.299270072992702,18.6613687744057,25.65734874286988
Santo André,Vila Alpina,6,1997,2.0,20.030045067601403,18.66593592290653,25.667073157251473
Santo André,Santa Maria,11,5871,2.0,6.813149378300119,18.670503071407367,25.695662059021302
Itaquaquecetuba,Mandi,4,2133,2.0,18.75293014533521,18.6750702199082,25.706048726961185
Itaquaquecetuba,Vila Virgínia,21,11265,2.0,3.5508211273857078,18.679637368409033,25.760903773535382
Santo André,Vila Bastos,12,4441,2.0,9.006980409817608,18.684204516909865,25.782529273920296
Santo André,Vila Junqueira,4,2143,2.0,18.665422305179654,18.6887716654107,25.79296463697476
